Course,Attribute(s),Comment
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Argentina in Global Context. Same as HIST 3701: Argentina in Global Context),"EFCH, EFCA, ELAB",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Climate Change & Environmental Policy in Latin America),"ERFB, EFCG, ELAA, EFCE, EFCA",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Contemporary Issues of US-Mexican Relations),"ERFB, EFCE, ELAA, EFCH",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Cuba in the Global Arena),"ERFB, EFCA, EFCH, EFCI, ELAA",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Democracy in Latin America),"ERFB, ELAB",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Democracy Under Siege),"EFCC, EFCA",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Economic & Social Development in Latin America),EFCA,
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Economic and Social Development of Latin America),"ERFB, EFCE, ELAA, EFCF",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Historical Memory & Human Rights in Chile),EFCH,
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Historical Memory and Human Rights in Chile),EFCB,
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (History of Latin America II) Same as HIST 3711: History of Latin America II.,ELAB,
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Immigration and Weak States),"ERFB, EFCE, EFCH, EFCI, ELAA",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (International Relations-Latin America),"ERFB, ELAA",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Latin America Geopolitics & Geoeconomics),EFCE,
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Latin America-US Relations),"ERFB, ELAA",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Latin American Migration),"EFCC, EFCA, EFCE, EFCH, EFCF",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Mexico Since Independence),"EFCC, EFCA",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Racial and Ethnic Politics of Latin America),"ERFB, ELAA, EFCA",
IAFF 3187 Special Topics in Latin American and Hemispheric Studies (Security in the Americas),"ERFB, EFCB, EFCH, EFCI, ELAA",
IAFF 3188 Special Topics in Middle East Studies (Anthropology of Islam). Same as ANTH 3991 Special Topics (Anthropology of Islam),"ESAG, EFCC, EMEA",
IAFF 3188 Special Topics in Middle East Studies (Arabic Literature: Arabia to America),EMEB,
IAFF 3188 Special Topics in Middle East Studies (International Relations-Middle East). Same as PSC 2478 International Relations of the Middle East,"ERFE, EFCH, EFCI",
IAFF 3188 Special Topics in Middle East Studies (International Relations-Middle East). Same as PSC 2478: International Relations of the Middle East,EMEA,
IAFF 3188 Special Topics in Middle East Studies (Iran in the Middle East),"ESIP, ERFE, EFCH, EFCI, EMEA",
IAFF 3188 Special Topics in Middle East Studies (Iran-U.S. Relations),"EFCI, EMEA",
"IAFF 3188 Special Topics in Middle East Studies (Islam, Drugs, and Empire). Same as HIST 2805W: History Majors' Introductory Seminar (Islam, Drugs, and Empire)","EMEB, EFCI",
IAFF 3188 Special Topics in Middle East Studies (Israeli Society and Politics),"EFCC, EFCA, EFCI, ERFE, EMEA, EFCB, EFCH",
IAFF 3188 Special Topics in Middle East Studies (Partitions: A History). Same as JSTD 2002: Topics in Judaic Studies: Modern (Partitions: A History),"ERFE, EFCH, EFCI, EMEB",
IAFF 3188 Special Topics in Middle East Studies (Political Economy of the Middle East),"ERFE, EFCH, EFCI, EMEA",
IAFF 3188 Special Topics in Middle East Studies (Popular Politics in the Middle East),"ERFE, EMEA, EFCI",
IAFF 3188 Special Topics in Middle East Studies (State and Society in Egypt),"EFCC, EFCA",
IAFF 3188 Special Topics in Middle East Studies (The Middle East Since WWII),"EMEB, EFCI",
IAFF 3188 Special Topics in Middle East Studies (U.S. Foreign Policy in the Middle East),EFCI,
IAFF 3188 Special Topics in Middle East Studies (U.S.-Iran Relations),EFCB,
IAFF 3188 Special Topics in Middle East Studies (US Foreign Policy in the Middle East),"ERFE, EMEA",
IAFF 3189 Special Topics in African Studies (Africa Declassified),"ERFA, EFCB, EAFA, EFCA, EFCH, EFCI",
IAFF 3189 Special Topics in African Studies (Africa in the Global Economy),"ERFA, EFCE, EFCH, EAFA, EFCF",
IAFF 3189 Special Topics in African Studies (Ethnic and Religious Conflict in Africa),"ERFA, EFCC, EFCA, EFCB, EFCH, EFCI, EAFA",
IAFF 3189 Special Topics in African Studies (Foreign Influence in Senegal),"EFCC, EFCA, EFCH",
IAFF 3189 Special Topics in African Studies (Hip Hop and Social Change in Africa),"ERFA, EFCC, EAFB",
IAFF 3189 Special Topics in African Studies (International Affairs in Africa),"ERFA, EFCA, EFCE, EFCH, EAFA",
IAFF 3189 Special Topics in African Studies (Security Challenges in Africa),"ERFA, EAFA",
IAFF 3189 Special Topics in African Studies (Women and Leadership in Africa),"ERFA, EFCC, EFCJ, EFCH, EAFA",
IAFF 3190  Arms Control and Nonproliferation,"EFCH, EFCI",
IAFF 3190 Special Topics in International Affairs (Arab Politics),EFCA,
IAFF 3190 Special Topics in International Affairs (Arctic Affairs),"EFCE, EFCG, EFCH, EFCI",
IAFF 3190 Special Topics in International Affairs (Climate Change and Developing Countries),"EFCA, EFCE, EFCG, EFCF",
IAFF 3190 Special Topics in International Affairs (Climate Change and Social Change),"EFCA, EFCE, EFCG",
"IAFF 3190 Special Topics in International Affairs (Climate Change, AI, Energy, and the UN COP Process)","EFCB, EFCG, EFCH, EFCE",
IAFF 3190 Special Topics in International Affairs (Congress and National Security Enterprise),"ESIP, EFCH, EFCI",
IAFF 3190 Special Topics in International Affairs (Cybersecurity Policy),"EFCH, EFIC",
IAFF 3190 Special Topics in International Affairs (Geopolitics of Climate Change),"EFCH, EFCI",
IAFF 3190 Special Topics in International Affairs (Global Gender Policy),"EFCJ, EFCE, EFCH, EFCI",
IAFF 3190 Special Topics in International Affairs (Global Governance),"EFCB, EFCH, EFCI",
IAFF 3190 Special Topics in International Affairs (Global Mental Health Policy),"EFCC, EFCD, EFCE",
IAFF 3190 Special Topics in International Affairs (Humanitarianism. Same as HONR 2047 and PSC 2454: Humanitarianism),"EFCA, EFCB, EFCE, EFCH, EFCI",
IAFF 3190 Special Topics in International Affairs (Humanitarianism),ESIP,
IAFF 3190 Special Topics in International Affairs (Illiberalism and Democracy),"EFCA, EFCH",
IAFF 3190 Special Topics in International Affairs (International Business and Modern Slavery),"EFCA, EFCE, EFCH, EFCI, EFCF",
IAFF 3190 Special Topics in International Affairs (International Conflict and Politics Research Seminar. Same as IAFF 4191W: International Conflict and Politics Research Seminar),"EFCA, EFCH, EFCI, EFCB, ESRM",
IAFF 3190 Special Topics in International Affairs (International Environmental Policy),"EFCE, EFCG, EFCH, EFCG, EFCF",
IAFF 3190 Special Topics in International Affairs (Introduction to Intelligence),"EFCH, EFCI",
IAFF 3190 Special Topics in International Affairs (Issues in Contemporary Diplomacy and National Security),EFCI,
IAFF 3190 Special Topics in International Affairs (Law and Diplomacy),"EFCH, EFCI",
IAFF 3190 Special Topics in International Affairs (LGBTIQ+ in International Affairs),"EFCC, EFCB, EFCJ, EFCD, EFCI",
IAFF 3190 Special Topics in International Affairs (Masculinities in International Affairs),"EFCJ, EFCC, EFCH, EFCI",
IAFF 3190 Special Topics in International Affairs (National Security Policymaking),"EFCH, EFCI",
IAFF 3190 Special Topics in International Affairs (Populist Authoritarianism),"ESIP, EFCA, EFCH",
IAFF 3190 Special Topics in International Affairs (Refugee and Migrant Crisis),"EFCB, EFCE, EFCH, EFCI",
"IAFF 3190 Special Topics in International Affairs (Science, Technology, and Espionage. Same as HIST 2001: Science, Technology, and Espionage)",EFCI,
IAFF 3190 Special Topics in International Affairs (Social Dimensions of Climate Change),"EFCC, EFCJ, EFCE, EFCG",
IAFF 3190 Special Topics in International Affairs (The UN and the International System),"EFCE, EFCH, EFCI",
IAFF 3190 Special Topics in International Affairs (U.S. Foreign Policy Decision Making),"ESIP, EFCA, EFCH",
"IAFF 3190 Special Topics in International Affairs (Women, Rights, and Gender Equality)","ESIP, EFCA, EFCB, EFCE, EFCH, EFCJ",
IAFF 3190W Special Topics (Masculinities in International Affairs),"EFCC, EFCH, EFCI",
IAFF 3191W Populism and Regime Change in Latin America,"EFCH, ELAA",
IAFF 3201W China’s Rise and Its Implications,"EFCA, EFCE, EFCH, EFCI, EASA",
IAFF 3202 Space Policy,"EFCH, EFCI",
IAFF 3204 Outer Space and International Security,EFCI,
IAFF 3204 Outer Space and International Security (Same as HIST 2001: Spaceflight and the Modern World),"EFCH, EFCI",
IAFF 3205 Holocaust Memory,"EMEB, EEEA, EFCC, EFCB, EFCH, EFCI, EFCA",
IAFF 3206 Global Governance,ESIP,
"IAFF 3210W Migration, Gender, and International Development","EFCC, EFCJ",
IAFF 3352 Israeli and Palestinian Peacebuilding,"ERFE, EFCH, EFCI, EFCB, EMEA",
"IAFF 3402 Oil: Industry, Economy, and Society. Same as IBUS 4403: Oil: Industry, Economy, and Society)","EFCH, EFCA, EFCF",
"IAFF 3501 International Development Theory, Policy, and Practice","ESAG, EFCC, EFCD, EFCE, EFCF",
IAFF 3513 ,EFCC,
IAFF 3513 Human Rights and Ethics,"ESAG, EFCC, EFCA, EFCB, EFCE, EFCD",
"IAFF 3633 Gender, Conflict, and Security","EFCC, EFCA, EFCB, EFCJ, EFCE, EFCI, EFCH, ESIP",
IAFF 3752W Equitable Development in Southeast Asia,"ERFC, EFCA, EFCE, EFCH, EASA, EFCF",
IAFF 3753 International Relations of South Asia,"ESIP, ERFC, EFCA, EFCB, EFCH, EFCI, EASA",
IAFF 3754 U.S.-China Relations,"ESIP, EFCH, EFCI, EASA",
IAFF 3756 Christianity and Islam in East Asia,"ERFC, EASB",
IAFF 3756 Christianity and Islam in East Asia. Same as REL 3990: Speical Topics in Religion (Christianity and Islam in East Asia),EFCC,
IAFF 3757 North Korean Culture and Society or KOR 4190: North Korean Culture and Society,"EFCA, ERFC, EFCC, EASB, EASA",
IAFF 3758 China and the World,"ERFC, EFCA, EFCE, EFCH, EASA, EFCF",
IAFF 3853 Latin America Geopolitics & Geoeconomics,"EFCH, ELAA, ERFB, EFCF",
IAFF 3855 Argentina in Global Context,ERFB,
IAFF 4191W Research and Writing Seminar (International Conflict and Politics Research Seminar. Same as IAFF 3190: International Conflict and Politics Research Seminar),"EFCB, EFCH, EFCI, EFCA, ESRM",
IAFF 4192 Team-Based Applied Learning Seminar (Applied Research on Africa),"EFCA, EFCE, EFCH, EFCI, EAFA, EFCF, ESRM, ERFA",
IAFF 4192 Team-Based Applied Learning Seminar (Conflict & Stabilization Applied Research),"EFCA, EFCB, EFCE, EFCH, EFCI, ESRM",
IAFF 4192 Team-Based Applied Learning Seminar (National Security Crisis Simulation),"EFCH, EFCI, EMEA, ESRM",
IAFF 4192 Team-Based Applied Learning Seminar (Peacebuilding Applied Research),"EFCB, EFCE, ESRM",
IBUS 3001 Introduction to International Business,EFCF ,
IBUS 3101 Global Financial Environment,EFCF,
IBUS 3201 International Marketing Management,EFCF,
IBUS 3301 International Business Finance,EFCF ,
IBUS 4203 Foreign Market Analysis,EFCF,
IBUS 4303 International Monetary and Financial Issues,EFCF,
IBUS 4401 Managing the Multinational Enterprise,EFCF,
IBUS 4402 Managing in Developing Countries,"EFCE, EFCF",
"IBUS 4403 Oil: Industry, Economy, and Society (Same as IAFF 3402: Oil: Industry, Economy, Society)","EFCH, EFCA, EFCE, EFCF",
IBUS 4404 Global Energy ,EFCF,
IBUS 4900 Special Topics (Global Disruptions),EFCF,
ISTM 3119 Introduction to Programming,"EQRM, ESTM, ESRM",
ISTM 4205 Web Applications Development,ESTM,
ISTM 4212 Data Management for Analytics,ESTM,
ISTM 4214 Foundations of Artificial Intelligence,ESTM,
ISTM 4216 Mobile Application Development,ESTM,
ISTM 4217 Internet of Things Management,ESTM,
ITAL 2500 History of Italian Film,"EFCC, EEEB",
ITAL 2600 Italian Foodways,"EFCC, EEEB",
ITAL 4184 Migration in Italian Film,"EFCC, EEEB",
JAPN 3112 Japanese Literature in Translation II,"EFCC, EASB",
JAPN 3114 Traditional Japanese Culture,"EFCC, EASB",
JAPN 3123 Introduction to Japanese Linguistics I,EASB,
JAPN 3124 Introduction to Japanese Linguistics II,,
JAPN 3162 Japanese Culture Through Film,"EFCC, EASA, EASB, ESAG",
JSTD 2002  Topics in Judaic Studies: Modern (The Holocaust). Same as HIST 3061: The Holocaust,"EEEB, EFCI",
JSTD 2002 Topics in Judaic Studies: Modern (Antisemitism Origins-Present),EFCH,
JSTD 2002 Topics in Judaic Studies: Modern (Israeli-Palestinian Peacebuilding),"EFCI, EMEA",
JSTD 2002 Topics in Judaic Studies: Modern (The Holocaust. Same as HIST 3061: The Holocaust),EFCI,
JSTD 2002 Topics in Judaic Studies: Modern (War Crime Trials. Same as HIST 3062: War Crimes Trials),"EFCH, EFCB, EFCI",
JSTD 2002 Topics in Judaic Studies: Modern (Women in Judaism). Same as REL 2990 and WGSS 3170 (Women in Judaism),EFCJ,
JSTD 2002W Topics in Judaic Studies Modern (Gender and Sexuality in Israel (Same as WGSS 3170W Gender and Sexuality in Israel),"EMEB, EFCC, EFCJ",
KOR 3112 Korean Literature in Translation II,"EFCC, EASB",
KOR 3123 Introduction to Korean Linguistics,EASB,
KOR 3162 Korean Culture through Film,"EFCC, EASB",
KOR 3300 East Asian 20th-21st Century,"EFCC, EASB",
KOR 3300 Historical Trauma and Cultural Healing in Post-1950s Korean Art,"EFCC, EASB",
KOR 4190 North Korean Society and Culture,"EASA, EASB, EFCC, EFCA, ERFC",
MAE 2131 Thermodynamics,ESTM,
MATH 1232 Single-Variable Calculus II,ESTM,
MATH 2184 Linear Algebra I,ESTM,
MATH 2185 Comprehensive Introduction to Linear Algebra,ESTM,
MATH 2233 Multivariable Calculus,ESTM,
MATH 2971 Introduction to Mathematical Reasoning,ESTM,
MATH 2971W Introduction to Mathematical Reasoning,ESTM,
MATH 3120 Elementary Number Theory,ESTM,
MATH 3125 Linear Algebra II,ESTM,
MATH 3257 Introduction to Complex Variables,ESTM,
MATH 3342 Ordinary Differential Equations,ESTM,
MATH 3343 Partial Differential Equations,ESTM,
MATH 3359 Introduction to Mathematical Modeling,ESTM,
MATH 3410 Mathematics of Finance,ESTM,
MATH 3411 Stochastic Calculus Methods in Finance,ESTM,
MATH 3553 Introduction to Numerical Analysis,ESTM,
MATH 3613 Introduction to Combinatorics,ESTM,
MATH 3632 Introduction to Graph Theory,ESTM,
MATH 3710 Introduction to Mathematical Logic,ESTM,
MATH 3720 Axiomatic Set Theory,ESTM,
MATH 3730 Computability Theory,ESTM,
MATH 3740 Computational Complexity,ESTM,
MATH 3806 Introduction to Topology,ESTM,
MATH 3848 Differential Geometry,ESTM,
MATH 4121 Introduction to Abstract Algebra I,ESTM,
MATH 4122 Introduction to Abstract Algebra II,ESTM,
MATH 4239 Real Analysis I,ESTM,
MATH 4240 Real Analysis II,ESTM,
MGT 3303 Women's Entrepreneurial Leadership,EFCJ,
"MLS 2005 Plagues, Pandemics, and Epidemics",EFCD,
NSC 2126 Sea Power and Maritime Affairs,EFCI,
NSC 2160 Evolution of Warfare,EFCI,
PERS 3002 Media Persian,EMEB,
PERS 3002W Media Persian,EMEB,
PHIL 2125 Philosophy of Race and Gender (Same as PHIL 2125W and WGSS 2225: Philosophy of Race and Gender),EFCJ,
PHIL 2133 Philosophy and Nonviolence,EFCB,
PHIL 2134 Philosophy of Human Rights,"EFCB, EFCE",
PHIL 2281 Philosophy of the Environment,"EFCE, EFCG",
PHIL 3100 Confucian Literature in East Asia,EASB,
PHIL 3100 Introduction to Daoism,EASB,
PHIL 3100 Selected Topics (Global Justice. Same as PSC 2991: Global Justice),"EFCB, EFCH, ESIP",
PHYS 2023 Modern Physics,ESTM,
PHYS 2151 Intermediate Laboratory I: Techniques and Methods,ESTM,
PHYS 2152 Intermediate Laboratory II: Instrumentation,ESTM,
PHYS 2183 Computational Modern Physics,ESTM,
PHYS 3127 Biophysics: Macroscopic Physics in the Life Sciences,ESTM,
PHYS 3128 Biophysics: Microscopic Physics in the Life Sciences,ESTM,
PHYS 3161 Mechanics,ESTM,
PHYS 3163 Physical and Quantum Optics,ESTM,
PHYS 3164 Thermal and Statistical Physics,ESTM,
PHYS 3165 Electromagnetic Theory I,ESTM,
PHYS 3166 Electromagnetic Theory II,ESTM,
PHYS 3167 Principles of Quantum Physics,ESTM,
PHYS 3181 Computational Physics,ESTM,
PHYS 4170 Solid-State Physics,ESTM,
PHYS 4175 Nuclear Physics,ESTM,
PSC 2101 Scope and Methods of Political Science,"EQRM, ESTM, ESRM",
PSC 2102 Visualizing and Modeling Politics,ESTM,
PSC 2105 Major Issues of Western Political Thought I,EEEA,
PSC 2106 Major Issues of Western Political Thought II,EEEA,
PSC 2109 Global Justice,"ESIP, EFCB, EFCH, EFCE",
PSC 2224 Issues in Domestic Public Policy (Women in the Workforce),EFCJ,
PSC 2225 Women and Politics,EFCJ,
PSC 2330 Comparative Politics of Western Europe,"ESIP, ERFD, EFCA, EEEA",
PSC 2331 Comparative Politics of Central and Eastern Europe,"ESIP, ERFD, EFCA, EEEA, EFCE",
PSC 2332 European Integration,"ESIP, ERFD, EFCH, EEEA",
"PSC 2333 Reunification, Reconciliation, and Resentment","EFCA, EFCB, EFCH, EFCI",
PSC 2334 Global Perspectives on Democracy,"ESIP, EFCA",
PSC 2336 State–Society Relations in the Developing World,"ESIP, EFCA, EFCE, EASA",
PSC 2338 Nationalism,"ESIP, EFCA, EFCB, EFCH",
PSC 2339 Comparative Political Economy,"ESIP, EFCA, EFCE, EFCA, EFCF",
PSC 2366 Russian Politics,"ESIP, ERFD, EFCA, EEEA",
PSC 2367 Human Rights,"ESIP, EFCA, EFCB, EFCE, EFCH",
PSC 2368 Politics in the Two Koreas,"ESIP, ERFC, EFCA, EFCB, EFCE, EFCH, EFCI, EASA",
PSC 2371 Politics and Foreign Policy of China,"ESIP, ERFC, EFCA, EFCH, EFCI, EASA",
PSC 2373 Comparative Politics of Southeast Asia,"ESIP, EFCA, EFCE, EASA, ERFC",
PSC 2374 Politics and Foreign Policy of Japan,"ESIP, ERFC, EFCA, EFCH, EFCI, EASA",
PSC 2377 Comparative Politics of the Middle East,"ESIP, ERFE, EFCA, EFCB, EFCE, EFCI, EMEA",
PSC 2381 Comparative Politics of Sub-Saharan Africa,"ESIP, ERFA, EFCA, EFCE, EAFA",
PSC 2383 Comparative Politics of Latin America,"ESIP, ERFB, EFCA, EFCE, ELAA",
PSC 2439 International Political Economy,"ESIP, EFCE, EFCH, EFCF",
PSC 2440 Theories of International Politics,"ESIP, EFCH",
PSC 2442 International Organizations,"ESIP, EFCB, EFCE, EFCH",
PSC 2444 Public International Law,"ESIP, EFCB, EFCH, EFCI",
PSC 2446 U.S. Foreign Policy,"ESIP, EFCH",
PSC 2449 International Security Politics,"ESIP, EFCB, EFCH, EFCI",
PSC 2449W International Security Politics,"EFCI, EFCB, ESIP, EFCH",
PSC 2454 Humanitarianism (Same as HONR 2047 and IAFF 3190: Humanitarianism),"ESIP, EFCA, EFCB, EFCE, EFCH, EFCI",
PSC 2455 Global Governance,ESIP,
PSC 2475 International Relations of East Asia,"ESIP, ERFC, EFCH, EFCI, EASA",
PSC 2476 The Arab-Israeli Conflict,"ESIP, ERFE, EFCA, EFCB, EFCH, EFCI, EMEA",
PSC 2478 International Relations of the Middle East,"ESIP, EFCH, EFCI, EMEA, ERFE",
PSC 2482 African International Politics,"ESIP, ERFA, EFCH, EAFA, EFCE",
PSC 2484 International Relations of Latin America,"ESIP, EFCE, EFCH, EFCI, ELAA",
PSC 2990 Special Topics (Data Science for All),"EQRM, ESRM",
PSC 2993  Special Topics in Comparative Politics (Politics of Modern Iran),ERFE,
PSC 2993 Al Andalus and Sepharad (Same as HIST 3001 Al Andalus and Sepharad),EEEB,
PSC 2993 Govts & Politics - Middle East,EMEA,
PSC 2993 Special Topics (Politics of China 1),"ERFC, EASA",
PSC 2993 Special Topics in Comparative Politics (Any offered topic),EFCA,
PSC 2993 Special Topics in Comparative Politics (Democratization),EFCI,
PSC 2993 Special Topics in Comparative Politics (Dictators in Europe and Russia),"ERFD, EEEA",
PSC 2993 Special Topics in Comparative Politics (Politics of Modern Iran),"EFCA, EMEA",
PSC 2993 Special Topics in Comparative Politics (Ukrainian Politics),"EFCA, EFCI, EEEA, EFCB, EFCH, ERFD, ESIP",
PSC 2993 Special Topics in Comparative Politics (Violence in Latin America),"EFCI, ELAA",
PSC 2994 Special Topics in International Relations,ERFB,
PSC 2994 Special Topics in International Relations (International Politics of Central and Eastern Europe),"ERFD, EEEA, EFCB",
PSC 2994 Special Topics in International Relations (International Relations-Latin America). Same as IAFF 3187: Special Topics in Latin American and Hemispheric Studies (International Relations-Latin America),ELAA,
PSC 2994 Special Topics in International Relations (IR in East Europe),"EFCI, EFCH",
PSC 2994 Special Topics in International Relations (U.S. Foreign Policy in the Middle East),"EFCH, EFCI, EMEA, EFCB",
PSC 3192W Proseminar: Political Science (British Politics),"ESIP, ERFD, EEEA, EFCA",
PSC 3192W Proseminar: Political Science (Ethics in World Politics),ESIP,
PSC 3192W Proseminar: Political Science (Politics of Water),"ESIP, EFCG",
PSC 3192W Proseminar: Political Violence,"EFCA, EFCI",
"PSC 3500 Advanced Topics (Emerging Tech, AI, and Internatonal Politics)",EFCH,
PSC 3500 Advanced Topics in Political Science (Democratic Experiments in Latin America),"EFCA, ELAA",
PSC 3500W Advanced Topics in Political Science (China's Communist Party),"EFCA, EASA",
PSTD 1010 Introduction to Peace Studies and Conflict Resolution,EFCB,
PSYC 2101 Research Methods in Psychology,ESTM,
PSYC 4106W Research Lab in Sensation and Perception,ESTM,
PSYC 4107W Research Lab in Cognitive Neuroscience,ESTM,
PSYC 4201W Research Lab in Clinical/Community Psychology,ESTM,
PSYC 4203W Research Lab in Developmental Psychology,ESTM,
PUBH 1101 Introduction to Public Health and Health Services,EFCD,
PUBH 2104 Foundations of Research Methods ,ESRM,
PUBH 2110 Public Health Biology,"ESTM, EFCD",
PUBH 2112 Principles of Health Education and Health Promotion,EFCD,
PUBH 2142 Introduction to Biostatistics for Public Health,"EQRM, ESTM, ESRM",
PUBH 3115 Global Health and Human Rights,EFCD,
PUBH 3131 Epidemiology,"EFCD, ESTM, ESRM",
PUBH 3132 Health and Environment,"EFCD, EFCG",
PUBH 3133 Global Health and Development,"EFCD, EFCE",
PUBH 3150 Sustainable Energy and Environmental Health,"EFCD, EFCG",
PUBH 3201 Introduction to Bioinformatics,ESTM,
PUBH 3202 Introduction to Genomics,ESTM,
PUBH 4201 Practical Computing,ESRM,
REL 2211 Rabbinic Thought and Literature,EMEB,
REL 2401 Islam,EMEB,
REL 2501 Hinduism,EASB,
"REL 2506 Religion, Myth, and Magic","ESAG, EFCC",
REL 2562 Mythologies of India,EASB,
REL 2601 Buddhism,EASB,
REL 2811 Confucian Literature in East Asia,EASB,
REL 2814 Religion and Philosophy in East Asia,"EFCC, EASB",
REL 2831 Introduction to Daoism,EASB,
REL 2922 Ethics and World Religions,EFCC,
REL 2990 Selected Topics (Religions of Asia),EASB,
REL 2990 Selected Topics (Women in Judaism). Same as JSTD 2002 and WGSS 3170 (Women in Judaism),EFCJ,
REL 3405 Shi'ite Islam,EMEB,
REL 3419 Islamic Civilization and the West,EMEB,
REL 3425 Islamic Political Thought,EMEB,
REL 3431 Sufism/Islamic Mysticism,EMEB,
REL 3475 Islamic Religion and Art,EMEB,
REL 3481 Women in Islam,"EFCJ, EMEB",
"REL 3881 Women, Gender, and Religion in China","EFCJ, EASB",
"REL 3923 Violence and Peace in Judaism, Christianity, and Islam",EFCB,
REL 3990 Selected Topics in Religion (Christianity and Islam in East Asia) or IAFF 3756: Christianity and Islam in East Asia,EFCC,
SLAV 2361 Russian Culture,EFCC,
SLAV 2366 Russian Literature from World War II to the Present,EFCC,
SLAV 2785 Introduction to Russian Cinema I,EEEB,
SLAV 2786 Introduction to Russian Cinema II,"EFCC, EEEB",
SMPA 2151 Research Methods,ESRM,
SMPA 3194 Selected Topics in Political Communication (Advocacy and Technology),EFCH,
SMPA 3194 Selected Topics in Political Communication (Media and Peacebuilding),"EFCB, EFCI",
SMPA 3195 Selected Topics in Journalism and Mass Communication (Media and Peacebuilding),"EFCA, EFCB, EFCH",
SMPA 3350 Public Diplomacy,"ESIP, EFCB, EFCJ, EFCE, EFCH, EFCI",
SOC 2101 Social Research Methods,ESRM,
SOC 2102 Techniques of Data Analysis,"EQRM, ESRM",
SOC 2168 Economic Sociology,EFCF,
SOC 2173 Social Movements,EFCB,
SOC 2175 Sociology of Sex and Gender,"EFCC, EFCD, EFCE, EFCJ",
SOC 2179 Race and Minority Relations,EFCC,
SOC 2181 El Camino de Santiago (Same as HIST 3148 El Camino de Santiago),EEEB,
SOC 2181 El Camino de Santiago (Same as HIST 3148: El Camino de Santiago),EFCC,
SOC 2189 Special Topics in Criminal Justice (Sociology of Terrorism),"EFCB, EFCI",
SOC 2189 Special Topics in Criminal Justice (Terrorism and Extremism),"EFCB, EFCH, EFCI",
SPAN 3100 Texts and Contexts of the Spanish Speaking World,EEEB,
SPAN 3100W Texts and Contexts of the Spanish-Speaking World,"EFCC, ELAB",
SPAN 3200 Bilingualism in the Spanish-Speaking World,"EFCC, ELAB",
SPAN 3440 Caribbean Literature and Culture,EFCC,
SPAN 3510 Heresy and Other in Early Modern Iberia,EEEB,
SPAN 3540 Major Authors of Spain and Latin America,ELAB,
SPAN 3550 Queer Latin America,EFCC,
SPAN 3550 Queer Latin America (Same as WGSS 3170: Queer Latin America),"EFCJ, ELAB",
SPAN 3700 Cinema of Spain and Latin America,"ELAB, EEEB",
SPAN 4150 Cervantes Don Quixote,EEEB,
"SPAN 4420 Global Migrations in the Spanish-Speaking World. Same as WGSS 3170: Topics in Women's, Gender, and Sexuality Studies (Global Migrations)","EFCC, ELAB",
SPAN 4450 Mexican Literature and Culture,EFCC,
SPAN 4460 Southern Cone Literature and Culture,EFCC,
SPAN 4550 1898 to 1998: Spain's First Century without Empire,EEEB,
SPAN 4600 Female Writers in Spanish Literature,EEEB,
SPAN 4700 Film as Text in Latin America,ELAB,
STAT 1051 Introduction to Business and Economic Statistics *,"EQRM, ESRM",
STAT 1053 Introduction to Statistics in Social Science *,"EQRM, ESRM",
STAT 1111 Business and Economic Statistics I *,"EQRM, ESRM",
STAT 1127 Statistics for the Biological Sciences *,"EQRM, ESRM",
STAT 1129 Introduction to Computing,"EQRM, ESRM",
STAT 2112 Business and Economic Statistics II,"ESTM, ESRM, EQRM",
STAT 2118 Regression Analysis,"EQRM, ESTM, ESRM",
STAT 2123 Introduction to Econometrics,"EQRM, ESRM, ESTM",
STAT 2183 Intermediate Statistics Lab/Packages,ESTM,
STAT 2183W Intermediate Statistical Laboratory: Statistical Computing Packages,"ESTM, EQRM, ESRM",
STAT 3119 Design and Analysis of Experiments,ESTM,
STAT 3187 Introduction to Sampling,ESTM,
STAT 3187W Introduction to Sampling,ESTM,
STAT 4157 Introduction to Mathematical Statistics I,"EQRM, ESTM, ESRM",
STAT 4158 Introduction to Mathematical Statistics II,ESTM,
STAT 4181 Applied Time Series Analysis,ESTM,
STAT 4188 Nonparametric Statistics Inference,ESTM,
STAT 4189 Mathematical Probability and Applications I,ESTM,
STAT 4190 Mathematical Probability and Applications II,ESTM,
STAT 4197 Fundamentals of SAS Programming for Data Management,ESTM,
Supporting courses,EFCG,
SUST 1001 Introduction to Sustainability,"EFCD, EFCE, EFCG",
SUST 3002 Climate Change and Policy,"EFCE, EFCG",
SUST 3003 World on a Plate,EFCG,
